TITOLO;Durata (number);Ballabilità;Energia;Chiave;Tono;Acusticità;Valenza;Tempo
Re Mida;0,001720521;0,738;0,733;10;0;0,074;0,65;91,045
COSÌ STUPIDI;0,002256748;0,623;0,823;6;0;0,212;0,53;90,983
USCITO DI GALERA;0,00199831;0,594;0,746;7;0;0,188;0,0802;164,231
Malibù;0,002448125;0,809;0,544;0;0;0,0753;0,284;125,876
FREE SOLO;0,001778854;0,769;0,592;1;0;0,207;0,536;72,089
Lamette;0,001730243;0,722;0,75;0;1;0,541;0,503;115,998
WALLAH;0,001548333;0,894;0,675;2;1;0,0673;0,546;120,144
LORO;0,002293819;0,57;0,606;2;1;0,408;0,536;93,089
MOLOTOV;0,001854213;0,613;0,96;5;0;0,265;0,669;159,98
OUV3RTURE;0,002000718;0,7;0,578;5;0;0,131;0,532;140,04
K.O.;0,002208449;0,797;0,579;1;0;0,183;0,344;86,979
181;0,001623808;0,768;0,856;9;1;0,16;0,656;102,001
Bellissima;0,002330255;0,635;0,95;0;1;0,00985;0,604;148,006
Per Un Fra;0,001786829;0,681;0,599;1;0;0,209;0,56;88,912
HELLVISBACK 2;0,001835856;0,702;0,962;2;1;0,0318;0,754;94,003
ANTIPATICO;0,001356944;0,577;0,847;1;1;0,192;0,893;98,288
VIOLA;0,002110394;0,63;0,748;10;1;0,0279;0,906;92,938
PANICO;0,002182454;0,788;0,731;4;0;0,0615;0,258;127,03
Giorni stupidi;0,002084907;0,548;0,866;11;0;0,11;0,683;91,951
∞ LOVE;0,002527396;0,726;0,828;7;0;0,105;0,307;125,002
Kyte sul tempo;0,002223125;0,776;0,779;9;0;0,397;0,745;163,043
ALDO RITMO;0,001857639;0,807;0,804;1;1;0,157;0,532;119,992
Non mi regolo;0,002263414;0,842;0,749;9;1;0,107;0,84;140,043
Veleno;0,002246597;0,793;0,772;2;1;0,24;0,674;94,998
IL CIELO NELLA STANZA;0,002155243;0,755;0,501;1;1;0,0867;0,267;134,998
CABRIOLET;0,002147836;0,548;0,531;0;1;0,15;0,309;150,058
MI SENTO BENE;0,002119086;0,706;0,801;6;0;0,112;0,501;94,843
Intro (Cielo);0,001672685;0,325;0,629;2;0;0,0768;0,171;86,693
FORTUNA;0,001919745;0,708;0,767;8;0;0,00569;0,776;154,986
ARANCIATA;0,002249606;0,693;0,741;1;0;0,0372;0,336;142,07
Ferrari - Remix;0,001990741;0,818;0,728;1;0;0,0985;0,597;124,974
Morto Mai (Piano solo);0,001856181;0,683;0,564;7;0;0,731;0,51;110,266
ACQUA TONICA;0,002112986;0,767;0,653;9;0;0,355;0,449;130,092
Stamm Fort;0,001983507;0,78;0,521;0;1;0,0983;0,643;160,087
Veleno 7;0,002013426;0,794;0,823;11;0;0,163;0,334;133,025
Senza Di Me;0,002337512;0,698;0,636;8;1;0,167;0,313;107,282
Superclassico;0,001993056;0,623;0,663;11;1;0,0624;0,346;149,91
PIOVE;0,001803958;0,381;0,627;4;0;0,232;0,458;187,835
BABY;0,001768102;0,807;0,864;10;0;0,127;0,331;122,116
SPARARE ALLA LUNA;0,002449838;0,732;0,681;4;0;0,381;0,151;85,041
IN TRAPPOLA;0,001306331;0,73;0,552;1;1;0,115;0,65;75,044
QUELLI CHE NON PENSANO - Il cervello;0,002201227;0,607;0,693;11;0;0,212;0,472;178,005
MADAME - L'anima;0,002565174;0,743;0,647;0;1;0,406;0,144;107,994
Password;0,001918067;0,656;0,65;6;0;0,606;0,402;95,121
Egoista;0,002005532;0,68;0,606;8;0;0,232;0,281;119,91
MARLA;0,002491019;0,678;0,544;5;1;0,121;0,266;74,93
Colpiscimi;0,002136748;0,707;0,589;6;0;0,286;0,308;90,978
TOPBOY;0,002389977;0,72;0,788;9;0;0,215;0,282;93,331
100 MESSAGGI;0,002825185;0,664;0,564;0;1;0,345;0,542;79,951
