GIORNO;NOME GIORNO;TITOLO;ORA INIZIO;ORA FINE;MOMENTO GIORNO;DURATA DI ASCOLTO
05/12/2023;Martedì;Re Mida;18:23:00;18:25:29;Pomeriggio;0,001720521
05/12/2023;Martedì;COSÌ STUPIDI;18:25:28;18:28:43;Pomeriggio;0,002256748
05/12/2023;Martedì;USCITO DI GALERA;18:28:42;18:31:35;Pomeriggio;0,00199831
05/12/2023;Martedì;Malibù;18:31:34;18:35:06;Pomeriggio;0,002448125
05/12/2023;Martedì;FREE SOLO;18:35:05;18:37:39;Pomeriggio;0,001778854
05/12/2023;Martedì;Lamette;18:37:38;18:40:07;Pomeriggio;0,001730243
06/12/2023;Mercoledì;WALLAH;11:05:00;11:07:14;Mattino;0,001548333
06/12/2023;Mercoledì;LORO;11:07:13;11:10:31;Mattino;0,002293819
06/12/2023;Mercoledì;MOLOTOV;11:10:31;11:13:11;Mattino;0,001854213
06/12/2023;Mercoledì;Tintoria #139 Valerio Lundini;11:13:11;11:18:57;Mattino;0,00400463
06/12/2023;Mercoledì;OUV3RTURE;18:41:00;18:43:53;Pomeriggio;0,002000718
06/12/2023;Mercoledì;Malibù;18:43:52;18:47:24;Pomeriggio;0,002448125
06/12/2023;Mercoledì;K.O.;18:47:23;18:50:34;Pomeriggio;0,002208449
06/12/2023;Mercoledì;181;18:50:33;18:52:53;Pomeriggio;0,001623808
06/12/2023;Mercoledì;COSÌ STUPIDI;18:52:53;18:56:08;Pomeriggio;0,002256748
06/12/2023;Mercoledì;FREE SOLO;18:56:07;18:58:41;Pomeriggio;0,001778854
06/12/2023;Mercoledì;Bellissima;18:58:40;19:02:01;Sera;0,002330255
06/12/2023;Mercoledì;Per Un Fra;19:02:01;19:04:35;Sera;0,001786829
06/12/2023;Mercoledì;HELLVISBACK 2;20:16:00;20:18:39;Sera;0,001835856
06/12/2023;Mercoledì;ANTIPATICO;20:18:38;20:20:35;Sera;0,001356944
06/12/2023;Mercoledì;Tintoria #139 Valerio Lundini;20:20:35;20:30:51;Sera;0,00712963
07/12/2023;Giovedì;Tintoria #139 Valerio Lundini;13:05:00;13:16:29;Pomeriggio;0,007974537
07/12/2023;Giovedì;VIOLA;16:31:00;16:34:02;Pomeriggio;0,002110394
07/12/2023;Giovedì;PANICO;16:34:02;16:37:11;Pomeriggio;0,002182454
07/12/2023;Giovedì;Giorni stupidi;16:37:10;16:40:10;Pomeriggio;0,002084907
07/12/2023;Giovedì;Per Un Fra;20:01:00;20:03:34;Sera;0,001786829
07/12/2023;Giovedì;∞ LOVE;20:03:34;20:07:12;Sera;0,002527396
07/12/2023;Giovedì;Kyte sul tempo;20:07:12;20:10:24;Sera;0,002223125
07/12/2023;Giovedì;ALDO RITMO;20:10:24;20:13:05;Sera;0,001857639
07/12/2023;Giovedì;K.O.;20:13:04;20:16:15;Sera;0,002208449
07/12/2023;Giovedì;Malibù;20:16:14;20:19:46;Sera;0,002448125
